track-id,track-name,genre,artist-id,artist-name,rating,popularity,instruments
1,Track 1,Rock,630,Artist 630,3.666218745078021,6,"['Saxophone', 'Cello', 'Piano', 'Violin', 'Guitar', 'Trumpet', 'Drums', 'Bass']"
2,Track 2,Jazz,531,Artist 531,4.985861654431673,5,"['Violin', 'Piano', 'Drums', 'Saxophone', 'Trumpet', 'Bass', 'Guitar', 'Vocals']"
3,Track 3,Classical,37,Artist 37,3.6561893901105007,1,"['Drums', 'Trumpet', 'Piano', 'Cello', 'Guitar', 'Violin', 'Saxophone']"
4,Track 4,Rock,99,Artist 99,3.0136018693864077,7,['Guitar']
5,Track 5,Latin,466,Artist 466,1.5557382434716498,6,"['Violin', 'Cello', 'Drums', 'Saxophone', 'Piano', 'Guitar']"
6,Track 6,Rock,250,Artist 250,1.3979814734082663,10,"['Trumpet', 'Piano', 'Drums', 'Vocals', 'Guitar']"
7,Track 7,Latin,465,Artist 465,1.4081028457533735,0,"['Bass', 'Saxophone', 'Piano', 'Violin']"
8,Track 8,Pop,290,Artist 290,2.555222867248146,0,"['Piano', 'Saxophone', 'Bass', 'Vocals', 'Guitar', 'Drums']"
9,Track 9,Pop,464,Artist 464,1.5160173473340182,10,"['Vocals', 'Drums', 'Bass', 'Piano', 'Cello', 'Violin']"
10,Track 10,Latin,828,Artist 828,0.590422955433611,10,"['Drums', 'Bass', 'Saxophone', 'Guitar', 'Trumpet', 'Vocals']"
11,Track 11,Hip Hop,961,Artist 961,3.6650007694103435,1,"['Drums', 'Violin', 'Saxophone']"
12,Track 12,Blues,288,Artist 288,3.2645668678090027,4,['Cello']
13,Track 13,Rock,363,Artist 363,4.9868314981690265,8,"['Trumpet', 'Guitar', 'Cello']"
14,Track 14,Latin,267,Artist 267,1.3065491153380342,9,"['Trumpet', 'Vocals']"
15,Track 15,Hip Hop,753,Artist 753,3.6013129696848427,7,"['Vocals', 'Guitar']"
16,Track 16,Country,240,Artist 240,2.1942335656270844,10,"['Saxophone', 'Drums', 'Cello', 'Trumpet', 'Vocals', 'Bass', 'Piano', 'Guitar', 'Violin']"
17,Track 17,Hip Hop,90,Artist 90,1.6514929741455293,8,"['Vocals', 'Violin']"
18,Track 18,Rock,389,Artist 389,4.461964421446262,2,"['Drums', 'Guitar', 'Saxophone', 'Bass', 'Cello']"
19,Track 19,Country,166,Artist 166,3.0390226504378037,1,"['Drums', 'Bass']"
20,Track 20,Classical,736,Artist 736,1.3141065379779433,2,"['Vocals', 'Drums', 'Saxophone', 'Violin']"
21,Track 21,Country,870,Artist 870,0.48940285076733814,10,"['Cello', 'Bass', 'Saxophone', 'Guitar', 'Trumpet', 'Piano', 'Vocals', 'Drums', 'Violin']"
22,Track 22,Jazz,243,Artist 243,0.825819142330036,0,"['Guitar', 'Vocals', 'Piano', 'Trumpet', 'Violin', 'Bass', 'Cello']"
23,Track 23,Jazz,278,Artist 278,1.9627313230470156,1,"['Bass', 'Cello', 'Drums', 'Guitar', 'Piano', 'Saxophone', 'Vocals']"
24,Track 24,Rock,9,Artist 9,0.5020040459213837,0,['Saxophone']
25,Track 25,Classical,251,Artist 251,4.1045900337738965,10,"['Vocals', 'Bass', 'Violin', 'Trumpet']"
26,Track 26,Country,308,Artist 308,2.740060665840283,2,['Vocals']
27,Track 27,Latin,537,Artist 537,1.9620150344292564,4,['Guitar']
28,Track 28,Classical,788,Artist 788,4.6344147577566375,6,"['Trumpet', 'Guitar', 'Violin', 'Vocals', 'Saxophone', 'Piano']"
29,Track 29,Blues,321,Artist 321,1.700172903805179,7,"['Piano', 'Vocals', 'Drums', 'Bass', 'Saxophone']"
30,Track 30,Country,208,Artist 208,0.40697304139093504,8,"['Trumpet', 'Saxophone', 'Vocals', 'Violin']"
31,Track 31,Hip Hop,263,Artist 263,1.414672075073793,9,['Bass']
32,Track 32,Latin,163,Artist 163,2.6338691829457836,4,"['Trumpet', 'Cello', 'Violin', 'Guitar', 'Saxophone', 'Piano', 'Drums']"
33,Track 33,Pop,286,Artist 286,3.6294804415436,8,"['Trumpet', 'Saxophone', 'Guitar', 'Cello']"
34,Track 34,Latin,648,Artist 648,2.0011263862686244,0,"['Saxophone', 'Piano', 'Violin', 'Guitar', 'Trumpet', 'Drums', 'Cello', 'Vocals']"
35,Track 35,Jazz,574,Artist 574,4.301862127887953,0,"['Cello', 'Trumpet']"
36,Track 36,Electronic,968,Artist 968,0.06463041360642963,5,"['Cello', 'Trumpet', 'Piano', 'Saxophone', 'Bass', 'Violin', 'Guitar', 'Drums']"
37,Track 37,Rock,123,Artist 123,3.0119270144776045,3,"['Saxophone', 'Piano', 'Vocals', 'Cello', 'Violin', 'Bass', 'Guitar', 'Drums']"
38,Track 38,Country,290,Artist 290,0.1572807700868839,0,"['Violin', 'Guitar', 'Drums']"
39,Track 39,Country,766,Artist 766,4.891330308564972,6,['Drums']
40,Track 40,Pop,793,Artist 793,0.7882278945050225,5,"['Bass', 'Drums', 'Violin', 'Trumpet', 'Piano', 'Vocals']"
